#mpa_vJan26_CHOCOPhlAnSGB_202605
#metaphlan --read_min_len 30 --input_type fastq L224/ERR4670283_1.trimmed.fastq.gz,L224/ERR4670283_2.trimmed.fastq.gz --mapout L224/L224_metaphlan.Jan26.bowtie2.bz2 --nproc 12 --index mpa_vJan26_CHOCOPhlAnSGB_202605 --db_dir metaphlan/Jan26/ --output_file L224/L224.metaphlan.Jan26.tsv --samout L224/L224_metaphlan.Jan26.sam.bz2 --min_mapq_val 30
#906739356 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	67.09785	
k__Bacteria	2	32.89817	
k__Archaea	2157	0.00398	
k__Bacteria|p__Firmicutes	2|1239	25.609959	
k__Bacteria|p__Pseudomonadota	2|1224	6.435855	
k__Bacteria|p__Bacteroidota	2|976	0.432659	
k__Bacteria|p__Spirochaetota	2|203691	0.2607	
k__Bacteria|p__Actinomycetota	2|201174	0.069865	
k__Bacteria|p__Campylobacterota	2|29547	0.044048	
k__Bacteria|p__Elusimicrobiota	2|74152	0.026064	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.006359	
k__Bacteria|p__Lentisphaerota	2|256845	0.006026	
k__Archaea|p__Methanobacteriota	2157|28890	0.00398	
k__Bacteria|p__Fusobacteriota	2|32066	0.002715	
k__Bacteria|p__Armatimonadota	2|67819	0.000989	
k__Bacteria|p__Mycoplasmatota	2|544448	0.000682	
k__Bacteria|p__Chloroflexota	2|200795	0.00048	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.000431	
k__Bacteria|p__Planctomycetota	2|203682	0.000412	
k__Bacteria|p__Gemmatimonadota	2|142182	0.000351	
k__Bacteria|p__Acidobacteriota	2|57723	0.000192	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.000144	
k__Bacteria|p__Bacteria_unclassified	2|	8e-05	
k__Bacteria|p__Cyanobacteriota	2|1117	7.9e-05	
k__Bacteria|p__Nitrospirota	2|40117	7.8e-05	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.028421	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	6.064134	
k__Bacteria|p__Spirochaetota|c__Spirochaetia	2|203691|203692	0.252964	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	0.23974	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.178609	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.136321	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.098873	
k__Bacteria|p__Firmicutes|c__CFGB13318	2|1239|	0.094258	
k__Bacteria|p__Pseudomonadota|c__CFGB3154	2|1224|	0.088953	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.068581	
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	2|976|117743	0.061408	
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	2|976|117747	0.047218	
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	0.043775	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.040115	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.036355	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.030817	
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia	2|74152|641853	0.026064	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.025456	
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.022463	
k__Bacteria|p__Firmicutes|c__CFGB1474	2|1239|	0.019435	
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.017275	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.01711	
